REGIONID,YEAR_MONTH,total_daylight_intervals,count_below_0,pct_below_0,count_below_neg10,pct_below_neg10,count_below_neg20,pct_below_neg20,count_below_neg30,pct_below_neg30,count_below_neg40,pct_below_neg40,count_below_neg50,pct_below_neg50,count_below_neg60,pct_below_neg60,count_below_neg70,pct_below_neg70,count_below_neg80,pct_below_neg80
NSW1,2019-05,2976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-06,2880,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-07,2976,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-08,2976,18,0.6,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-09,2880,15,0.52,5,0.17,5,0.17,5,0.17,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-10,2976,8,0.27,3,0.1,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-11,2880,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2019-12,2976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-01,2976,5,0.17,3,0.1,3,0.1,2,0.07,2,0.07,2,0.07,2,0.07,2,0.07,1,0.03
NSW1,2020-02,2784,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-03,2976,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-04,2880,71,2.47,36,1.25,19,0.66,11,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-05,2976,9,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-06,2880,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-07,2976,24,0.81,4,0.13,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-08,2976,9,0.3,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-09,2880,15,0.52,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-10,2976,6,0.2,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-11,2880,5,0.17,5,0.17,4,0.14,4,0.14,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2020-12,2976,3,0.1,2,0.07,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03
NSW1,2021-01,2976,2,0.07,1,0.03,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2021-02,2688,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2021-03,2976,4,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2021-04,2880,136,4.72,75,2.6,60,2.08,49,1.7,13,0.45,4,0.14,0,0.0,0,0.0,0,0.0
NSW1,2021-05,2976,13,0.44,5,0.17,4,0.13,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2021-06,2880,2,0.07,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2021-07,2976,87,2.92,44,1.48,42,1.41,32,1.08,10,0.34,10,0.34,8,0.27,8,0.27,7,0.24
NSW1,2021-08,2976,405,13.61,261,8.77,190,6.38,125,4.2,51,1.71,36,1.21,27,0.91,22,0.74,11,0.37
NSW1,2021-09,2880,781,27.12,540,18.75,411,14.27,304,10.56,74,2.57,21,0.73,14,0.49,7,0.24,2,0.07
NSW1,2021-10,2976,722,24.26,592,19.89,538,18.08,436,14.65,132,4.44,32,1.08,14,0.47,3,0.1,0,0.0
NSW1,2021-11,2880,236,8.19,199,6.91,165,5.73,148,5.14,28,0.97,3,0.1,1,0.03,0,0.0,0,0.0
NSW1,2021-12,2976,133,4.47,90,3.02,75,2.52,73,2.45,15,0.5,3,0.1,3,0.1,3,0.1,3,0.1
NSW1,2022-01,2976,8,0.27,7,0.24,6,0.2,6,0.2,2,0.07,2,0.07,2,0.07,2,0.07,2,0.07
NSW1,2022-02,2688,92,3.42,61,2.27,53,1.97,51,1.9,9,0.33,5,0.19,5,0.19,4,0.15,4,0.15
NSW1,2022-03,2976,5,0.17,2,0.07,2,0.07,2,0.07,2,0.07,1,0.03,1,0.03,1,0.03,1,0.03
NSW1,2022-04,2880,10,0.35,4,0.14,4,0.14,4,0.14,4,0.14,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2022-05,2976,1,0.03,1,0.03,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2022-06,2880,27,0.94,17,0.59,15,0.52,11,0.38,7,0.24,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2022-07,2976,50,1.68,28,0.94,25,0.84,21,0.71,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2022-08,2976,217,7.29,170,5.71,157,5.28,140,4.7,86,2.89,6,0.2,0,0.0,0,0.0,0,0.0
NSW1,2022-09,2880,541,18.78,466,16.18,427,14.83,393,13.65,316,10.97,167,5.8,66,2.29,13,0.45,0,0.0
NSW1,2022-10,2976,352,11.83,307,10.32,271,9.11,250,8.4,202,6.79,153,5.14,120,4.03,30,1.01,3,0.1
NSW1,2022-11,2880,593,20.59,434,15.07,389,13.51,335,11.63,264,9.17,180,6.25,91,3.16,11,0.38,0,0.0
NSW1,2022-12,2976,977,32.83,658,22.11,579,19.46,492,16.53,376,12.63,251,8.43,56,1.88,1,0.03,1,0.03
NSW1,2023-01,2976,233,7.83,181,6.08,168,5.65,152,5.11,113,3.8,64,2.15,5,0.17,0,0.0,0,0.0
NSW1,2023-02,2688,287,10.68,202,7.51,194,7.22,187,6.96,170,6.32,103,3.83,18,0.67,4,0.15,2,0.07
NSW1,2023-03,2976,185,6.22,133,4.47,118,3.97,92,3.09,32,1.08,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2023-04,2880,391,13.58,338,11.74,316,10.97,284,9.86,212,7.36,116,4.03,63,2.19,27,0.94,1,0.03
NSW1,2023-05,2976,61,2.05,40,1.34,31,1.04,24,0.81,9,0.3,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2023-06,2880,136,4.72,103,3.58,93,3.23,78,2.71,62,2.15,1,0.03,0,0.0,0,0.0,0,0.0
NSW1,2023-07,2976,476,15.99,375,12.6,346,11.63,293,9.85,247,8.3,79,2.65,8,0.27,0,0.0,0,0.0
NSW1,2023-08,2976,524,17.61,417,14.01,375,12.6,265,8.9,191,6.42,55,1.85,1,0.03,0,0.0,0,0.0
NSW1,2023-09,2880,1131,39.27,1026,35.62,945,32.81,738,25.62,698,24.24,486,16.88,95,3.3,19,0.66,1,0.03
NSW1,2023-10,2976,1462,49.13,1364,45.83,1274,42.81,1033,34.71,940,31.59,474,15.93,48,1.61,10,0.34,0,0.0
NSW1,2023-11,2880,501,17.4,422,14.65,374,12.99,242,8.4,124,4.31,39,1.35,0,0.0,0,0.0,0,0.0
NSW1,2023-12,2976,632,21.24,588,19.76,471,15.83,362,12.16,203,6.82,14,0.47,3,0.1,0,0.0,0,0.0
NSW1,2024-01,2976,138,4.64,114,3.83,86,2.89,50,1.68,31,1.04,15,0.5,12,0.4,11,0.37,10,0.34
NSW1,2024-02,2784,194,6.97,152,5.46,89,3.2,51,1.83,20,0.72,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2024-03,2976,410,13.78,336,11.29,244,8.2,126,4.23,103,3.46,2,0.07,1,0.03,0,0.0,0,0.0
NSW1,2024-04,2880,489,16.98,377,13.09,231,8.02,127,4.41,97,3.37,2,0.07,0,0.0,0,0.0,0,0.0
NSW1,2024-05,2976,107,3.6,74,2.49,45,1.51,20,0.67,9,0.3,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2024-06,2880,156,5.42,115,3.99,86,2.99,67,2.33,46,1.6,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2024-07,2976,290,9.74,248,8.33,166,5.58,108,3.63,71,2.39,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2024-08,2976,914,30.71,817,27.45,741,24.9,655,22.01,553,18.58,191,6.42,9,0.3,7,0.24,0,0.0
NSW1,2024-09,2880,1633,56.7,1468,50.97,1398,48.54,1269,44.06,1054,36.6,314,10.9,15,0.52,0,0.0,0,0.0
NSW1,2024-10,2976,1097,36.86,1065,35.79,1033,34.71,916,30.78,654,21.98,142,4.77,7,0.24,1,0.03,1,0.03
NSW1,2024-11,2880,590,20.49,549,19.06,488,16.94,377,13.09,63,2.19,2,0.07,1,0.03,0,0.0,0,0.0
NSW1,2024-12,2976,1080,36.29,1025,34.44,928,31.18,704,23.66,104,3.49,3,0.1,3,0.1,2,0.07,2,0.07
NSW1,2025-01,2976,1051,35.32,1017,34.17,889,29.87,578,19.42,40,1.34,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-02,2688,902,33.56,862,32.07,799,29.72,483,17.97,64,2.38,22,0.82,9,0.33,1,0.04,1,0.04
NSW1,2025-03,2976,704,23.66,589,19.79,474,15.93,16,0.54,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-04,2880,879,30.52,766,26.6,629,21.84,134,4.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-05,2976,594,19.96,533,17.91,347,11.66,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-06,2880,230,7.99,186,6.46,67,2.33,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-07,2976,466,15.66,350,11.76,52,1.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-08,2976,800,26.88,574,19.29,47,1.58,11,0.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NSW1,2025-09,2880,2042,70.9,1749,60.73,446,15.49,131,4.55,3,0.1,1,0.03,1,0.03,1,0.03,1,0.03
NSW1,2025-10,2976,1781,59.85,1447,48.62,514,17.27,181,6.08,10,0.34,5,0.17,4,0.13,4,0.13,3,0.1
NSW1,2025-11,2880,2152,74.72,1551,53.85,460,15.97,115,3.99,40,1.39,28,0.97,11,0.38,8,0.28,8,0.28
NSW1,2025-12,2976,1487,49.97,688,23.12,209,7.02,129,4.33,29,0.97,7,0.24,4,0.13,4,0.13,4,0.13
NSW1,2026-01,2976,537,18.04,79,2.65,6,0.2,4,0.13,3,0.1,3,0.1,3,0.1,3,0.1,3,0.1
NSW1,2026-02,2688,270,10.04,43,1.6,6,0.22,1,0.04,1,0.04,1,0.04,1,0.04,0,0.0,0,0.0
NSW1,2026-03,2976,402,13.51,8,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2019-05,2976,6,0.2,3,0.1,3,0.1,3,0.1,3,0.1,3,0.1,3,0.1,3,0.1,3,0.1
QLD1,2019-06,2880,30,1.04,26,0.9,25,0.87,25,0.87,25,0.87,25,0.87,25,0.87,24,0.83,24,0.83
QLD1,2019-07,2976,35,1.18,31,1.04,30,1.01,26,0.87,26,0.87,26,0.87,26,0.87,24,0.81,14,0.47
QLD1,2019-08,2976,236,7.93,195,6.55,191,6.42,166,5.58,159,5.34,120,4.03,111,3.73,108,3.63,52,1.75
QLD1,2019-09,2880,476,16.53,388,13.47,380,13.19,303,10.52,303,10.52,201,6.98,187,6.49,186,6.46,85,2.95
QLD1,2019-10,2976,201,6.75,189,6.35,177,5.95,165,5.54,160,5.38,123,4.13,62,2.08,61,2.05,14,0.47
QLD1,2019-11,2880,131,4.55,116,4.03,114,3.96,93,3.23,91,3.16,37,1.28,11,0.38,11,0.38,2,0.07
QLD1,2019-12,2976,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2020-01,2976,9,0.3,7,0.24,7,0.24,5,0.17,4,0.13,4,0.13,3,0.1,3,0.1,2,0.07
QLD1,2020-02,2784,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2020-03,2976,61,2.05,49,1.65,41,1.38,39,1.31,25,0.84,19,0.64,14,0.47,14,0.47,3,0.1
QLD1,2020-04,2880,84,2.92,35,1.22,25,0.87,10,0.35,4,0.14,4,0.14,3,0.1,3,0.1,0,0.0
QLD1,2020-05,2976,411,13.81,288,9.68,274,9.21,234,7.86,162,5.44,115,3.86,82,2.76,81,2.72,21,0.71
QLD1,2020-06,2880,437,15.17,198,6.88,171,5.94,153,5.31,42,1.46,39,1.35,30,1.04,30,1.04,0,0.0
QLD1,2020-07,2976,252,8.47,118,3.97,107,3.6,99,3.33,42,1.41,27,0.91,26,0.87,26,0.87,4,0.13
QLD1,2020-08,2976,739,24.83,637,21.4,609,20.46,505,16.97,237,7.96,114,3.83,83,2.79,83,2.79,4,0.13
QLD1,2020-09,2880,710,24.65,643,22.33,592,20.56,456,15.83,143,4.97,65,2.26,60,2.08,60,2.08,4,0.14
QLD1,2020-10,2976,504,16.94,398,13.37,370,12.43,328,11.02,120,4.03,68,2.28,65,2.18,63,2.12,14,0.47
QLD1,2020-11,2880,145,5.03,117,4.06,94,3.26,91,3.16,28,0.97,23,0.8,21,0.73,21,0.73,8,0.28
QLD1,2020-12,2976,13,0.44,10,0.34,8,0.27,8,0.27,3,0.1,3,0.1,3,0.1,3,0.1,1,0.03
QLD1,2021-01,2976,1,0.03,1,0.03,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2021-02,2688,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2021-03,2976,63,2.12,36,1.21,34,1.14,31,1.04,25,0.84,24,0.81,13,0.44,13,0.44,4,0.13
QLD1,2021-04,2880,378,13.12,247,8.58,216,7.5,178,6.18,120,4.17,102,3.54,80,2.78,76,2.64,16,0.56
QLD1,2021-05,2976,479,16.1,374,12.57,346,11.63,276,9.27,201,6.75,167,5.61,84,2.82,75,2.52,21,0.71
QLD1,2021-06,2880,205,7.12,148,5.14,141,4.9,75,2.6,56,1.94,46,1.6,42,1.46,41,1.42,16,0.56
QLD1,2021-07,2976,382,12.84,220,7.39,211,7.09,184,6.18,53,1.78,44,1.48,40,1.34,38,1.28,21,0.71
QLD1,2021-08,2976,698,23.45,479,16.1,415,13.94,356,11.96,116,3.9,78,2.62,59,1.98,56,1.88,15,0.5
QLD1,2021-09,2880,1279,44.41,968,33.61,874,30.35,769,26.7,391,13.58,318,11.04,181,6.28,165,5.73,81,2.81
QLD1,2021-10,2976,1091,36.66,943,31.69,919,30.88,839,28.19,360,12.1,261,8.77,203,6.82,158,5.31,54,1.81
QLD1,2021-11,2880,475,16.49,388,13.47,381,13.23,359,12.47,203,7.05,120,4.17,80,2.78,64,2.22,6,0.21
QLD1,2021-12,2976,107,3.6,69,2.32,58,1.95,52,1.75,5,0.17,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2022-01,2976,3,0.1,3,0.1,2,0.07,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2022-02,2688,86,3.2,57,2.12,47,1.75,41,1.53,6,0.22,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2022-03,2976,41,1.38,24,0.81,20,0.67,18,0.6,11,0.37,3,0.1,1,0.03,1,0.03,0,0.0
QLD1,2022-04,2880,8,0.28,4,0.14,3,0.1,3,0.1,2,0.07,2,0.07,2,0.07,1,0.03,1,0.03
QLD1,2022-05,2976,30,1.01,14,0.47,9,0.3,6,0.2,3,0.1,1,0.03,1,0.03,1,0.03,1,0.03
QLD1,2022-06,2880,191,6.63,94,3.26,79,2.74,59,2.05,40,1.39,12,0.42,5,0.17,5,0.17,0,0.0
QLD1,2022-07,2976,147,4.94,75,2.52,57,1.92,31,1.04,12,0.4,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2022-08,2976,912,30.65,805,27.05,730,24.53,674,22.65,592,19.89,310,10.42,100,3.36,63,2.12,13,0.44
QLD1,2022-09,2880,818,28.4,692,24.03,628,21.81,584,20.28,508,17.64,233,8.09,56,1.94,7,0.24,3,0.1
QLD1,2022-10,2976,386,12.97,333,11.19,290,9.74,272,9.14,227,7.63,149,5.01,63,2.12,10,0.34,3,0.1
QLD1,2022-11,2880,692,24.03,485,16.84,432,15.0,388,13.47,312,10.83,134,4.65,63,2.19,10,0.35,0,0.0
QLD1,2022-12,2976,1115,37.47,726,24.4,634,21.3,487,16.36,403,13.54,226,7.59,72,2.42,5,0.17,1,0.03
QLD1,2023-01,2976,297,9.98,212,7.12,187,6.28,156,5.24,117,3.93,52,1.75,13,0.44,0,0.0,0,0.0
QLD1,2023-02,2688,417,15.51,255,9.49,242,9.0,215,8.0,176,6.55,22,0.82,1,0.04,0,0.0,0,0.0
QLD1,2023-03,2976,458,15.39,339,11.39,316,10.62,285,9.58,210,7.06,28,0.94,22,0.74,21,0.71,19,0.64
QLD1,2023-04,2880,779,27.05,676,23.47,602,20.9,475,16.49,282,9.79,107,3.72,57,1.98,5,0.17,0,0.0
QLD1,2023-05,2976,735,24.7,570,19.15,459,15.42,272,9.14,109,3.66,1,0.03,0,0.0,0,0.0,0,0.0
QLD1,2023-06,2880,530,18.4,433,15.03,411,14.27,335,11.63,97,3.37,3,0.1,0,0.0,0,0.0,0,0.0
QLD1,2023-07,2976,1064,35.75,914,30.71,891,29.94,750,25.2,395,13.27,39,1.31,0,0.0,0,0.0,0,0.0
QLD1,2023-08,2976,2017,67.78,1846,62.03,1779,59.78,1423,47.82,1183,39.75,139,4.67,1,0.03,0,0.0,0,0.0
QLD1,2023-09,2880,2300,79.86,2127,73.85,2086,72.43,1345,46.7,1332,46.25,308,10.69,54,1.88,14,0.49,2,0.07
QLD1,2023-10,2976,2424,81.45,2257,75.84,2137,71.81,1494,50.2,1401,47.08,227,7.63,11,0.37,2,0.07,0,0.0
QLD1,2023-11,2880,1088,37.78,879,30.52,807,28.02,337,11.7,154,5.35,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2023-12,2976,1023,34.38,817,27.45,736,24.73,383,12.87,276,9.27,9,0.3,0,0.0,0,0.0,0,0.0
QLD1,2024-01,2976,250,8.4,160,5.38,120,4.03,20,0.67,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2024-02,2784,355,12.75,275,9.88,222,7.97,48,1.72,18,0.65,0,0.0,0,0.0,0,0.0,0,0.0
QLD1,2024-03,2976,635,21.34,479,16.1,404,13.58,60,2.02,29,0.97,0,0.0,0,0.0,0,0.0,0,0.0
